electrode,T,j,step_name,expression,result,values
Ni-HER,298.0,0.01,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.01,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.01,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.0,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.01, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.01,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.01,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.01,Perdida ohmica total,η_ohm = j · R_total,0.00090201312462653,"{'j': 0.01, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.01,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.01,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),3.221826407553266e-05,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.01, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.01,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.2308075281921498,"{'V_rev': 1.2298732968034478, 'eta_act': 0.0, 'eta_ohm': 0.00090201312462653, 'eta_conc': 3.221826407553266e-05}"
Ni-HER,298.0,0.030204081632653063,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.030204081632653063,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.030204081632653063,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.02838608249818203,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.030204081632653063, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.030204081632653063,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.030204081632653063,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.030204081632653063,Perdida ohmica total,η_ohm = j · R_total,0.0027244478049944175,"{'j': 0.030204081632653063, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.030204081632653063,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.030204081632653063,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),9.756002474348098e-05,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.030204081632653063, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.030204081632653063,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.2610813871313677,"{'V_rev': 1.2298732968034478, 'eta_act': 0.02838608249818203, 'eta_ohm': 0.0027244478049944175, 'eta_conc': 9.756002474348098e-05}"
Ni-HER,298.0,0.05040816326530612,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.05040816326530612,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.05040816326530612,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.04153858612971296,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.05040816326530612, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.05040816326530612,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.05040816326530612,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.05040816326530612,Perdida ohmica total,η_ohm = j · R_total,0.0045468824853623045,"{'j': 0.05040816326530612, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.05040816326530612,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.05040816326530612,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00016323601063168914,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.05040816326530612, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.05040816326530612,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.2761220014291548,"{'V_rev': 1.2298732968034478, 'eta_act': 0.04153858612971296, 'eta_ohm': 0.0045468824853623045, 'eta_conc': 0.00016323601063168914}"
Ni-HER,298.0,0.07061224489795918,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.07061224489795918,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.07061224489795918,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.05019392447307217,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.07061224489795918, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.07061224489795918,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.07061224489795918,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.07061224489795918,Perdida ohmica total,η_ohm = j · R_total,0.006369317165730192,"{'j': 0.07061224489795918, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.07061224489795918,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.07061224489795918,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00022924965847231902,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.07061224489795918, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.07061224489795918,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.2866657881007226,"{'V_rev': 1.2298732968034478, 'eta_act': 0.05019392447307217, 'eta_ohm': 0.006369317165730192, 'eta_conc': 0.00022924965847231902}"
Ni-HER,298.0,0.09081632653061224,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.09081632653061224,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.09081632653061224,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.05665583700869684,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.09081632653061224, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.09081632653061224,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.09081632653061224,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.09081632653061224,Perdida ohmica total,η_ohm = j · R_total,0.008191751846098078,"{'j': 0.09081632653061224, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.09081632653061224,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.09081632653061224,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00029560445827983686,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.09081632653061224, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.09081632653061224,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.2950164901165226,"{'V_rev': 1.2298732968034478, 'eta_act': 0.05665583700869684, 'eta_ohm': 0.008191751846098078, 'eta_conc': 0.00029560445827983686}"
Ni-HER,298.0,0.1110204081632653,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.1110204081632653,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.1110204081632653,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.06181423642274211,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.1110204081632653, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.1110204081632653,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.1110204081632653,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.1110204081632653,Perdida ohmica total,η_ohm = j · R_total,0.010014186526465966,"{'j': 0.1110204081632653, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.1110204081632653,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.1110204081632653,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00036230395445817256,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.1110204081632653, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.1110204081632653,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.3020640237071142,"{'V_rev': 1.2298732968034478, 'eta_act': 0.06181423642274211, 'eta_ohm': 0.010014186526465966, 'eta_conc': 0.00036230395445817256}"
Ni-HER,298.0,0.13122448979591836,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.13122448979591836,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.13122448979591836,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.06610775828540394,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.13122448979591836, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.13122448979591836,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
