electrode,T,j,step_name,expression,result,values
Ni-HER-Lee2022,293.15,0.01,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.01,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.01,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.06867103359786494,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.01, 'j0': 0.00014398085933793194, 'eta': 0.06867103359786494}"
Ni-HER-Lee2022,293.15,0.01,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.01,Perdida ohmica total,η_ohm = j · R_total,0.014300662824207493,"{'j': 0.01, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.01,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.01,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),2.5287007903725702e-05,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.01, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.01,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.3087735435449044,"{'V_rev': 1.2257765601149282, 'eta_act': 0.06867103359786494, 'eta_ohm': 0.014300662824207493, 'eta_conc': 2.5287007903725702e-05}"
Ni-HER-Lee2022,293.15,0.08610169491525424,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.08610169491525424,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.08610169491525424,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.10353422300898324,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.08610169491525424, 'j0': 0.00014398085933793194, 'eta': 0.10353422300898324}"
Ni-HER-Lee2022,293.15,0.08610169491525424,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.08610169491525424,Perdida ohmica total,η_ohm = j · R_total,0.12313113075758317,"{'j': 0.08610169491525424, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.08610169491525424,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.08610169491525424,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00021940218490471017,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.08610169491525424, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.08610169491525424,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.4526613160663993,"{'V_rev': 1.2257765601149282, 'eta_act': 0.10353422300898324, 'eta_ohm': 0.12313113075758317, 'eta_conc': 0.00021940218490471017}"
Ni-HER-Lee2022,293.15,0.1622033898305085,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.1622033898305085,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
